Sample,SBS5,SBS1,SBSB,SBSblood
PD50610b,0.2319629550686434,0.16014786512402052,0.07548391158111821,0.5324052682262178
PD50612b,0.0,0.08612246500157546,0.08472072736883327,0.8291568076295913
PD50619b,0.0,0.15622552617151853,0.10315107168510369,0.7406234021433777
PD50620b,0.2604265884467324,0.14951288214012806,0.20917946335442833,0.3808810660587112
PD50621b,0.24363023944776094,0.1278622046646453,0.19409287517316473,0.4344146807144291
PD50622b,0.14180437115730607,0.14814921769916206,0.09234568665067029,0.6177007244928615
PD50625b,0.2101965472405747,0.12827400759500526,0.0,0.6615294451644201
PD50627b,0.20270090534465232,0.15783078905030562,0.11871654142676302,0.5207517641782791
PD50629b,0.3181789009575738,0.1292815479298238,0.11244811762008874,0.4400914334925136
PD50630b,0.39107780367907746,0.16445450047096427,0.13980391010659368,0.3046637857433645
PD50632b,0.14030671308865858,0.13264864366025506,0.10414255683770417,0.6229020864133822
PD50634b,0.333071286188397,0.1146126870029366,0.1315063539468694,0.42080967286179705
PD50637b,0.3402728081009483,0.12938356381717778,0.12229425010243752,0.40804937797943636
PD50641b,0.0,0.1591274460435918,0.0,0.8408725539564081
PD51184b,0.32682418648313316,0.1639198778025438,0.07443919061121282,0.43481674510311025
PD51185b,0.2935520093260565,0.1280320215787997,0.0,0.5784159690951438
PD51187b,0.48355114247122033,0.13238625269936677,0.0,0.38406260482941285
PD51191b,0.2909566016093713,0.10789592162496357,0.09831049785706836,0.5028369789085968
PD51192b,0.0,0.12328559883837086,0.07715473024671109,0.7995596709149181
PD51193b,0.342812556311372,0.1306470508162163,0.0,0.5265403928724116
PD51213b,0.32155060495949417,0.12348407024575798,0.17396567360739182,0.3809996511873561
PD51215b,0.13434485778977526,0.11290610160000261,0.08478394940711081,0.6679650912031113
PD51218b,0.13328487130313685,0.12353508262176253,0.07907677708139686,0.6641032689937038
PD51219b,0.12678534223318003,0.13486760449428095,0.0,0.738347053272539
PD51224b,0.30860854189816084,0.12144511271576283,0.10346298526968593,0.4664833601163904
PD51225b,0.3367805109007188,0.13851864032727865,0.0,0.5247008487720025
PD51227b,0.1807540946063164,0.12790454464814305,0.0,0.6913413607455406
PD51239b,0.15857690029802785,0.13044447461700104,0.10931634463182947,0.6016622804531415
PD51254b,0.10914901483489711,0.07444928256807899,0.0,0.8164017025970239
PD51255b,0.31952832835670475,0.09304791589199304,0.11544411715650427,0.4719796385947979
PD51256b,0.17549819768217395,0.11945728580364087,0.08230397679311052,0.6227405397210747
PD51260b,0.0,0.14062790743433456,0.106053561163706,0.7533185314019594
PD51262b,0.19434149581158863,0.15577694951263274,0.0,0.6498815546757787
